8432;NL V&D A'dam Kalverstraat/E_TOT
8441;NL V&D A'dam Kalvertoren/E_TOT
8450;NL V&D A'dam Noord/E_TOT
8458;NL V&D Aduard DC/E_TOT
8465;NL 001 V&D Alkmaar/E_TOT
8473;NL V&D Almere/E_TOT
8485;NL V&Dï Alphen ad Rijn/E_TOT
8503;NL V&D Amstelveen/E_TOT
8537;NL V&D Arnhem/E_TOT
8553;NL V&D Assen/E_TOT
8562;NL V&D Bergen op Zoom/E_TOT
8568;NL V&D Beverwijk/E_TOT
8582;NL V&D Breda/E_TOT
8589;NL V&D Delft/E_TOT
8597;NL V&D Den Bosch/E_TOT
8607;NL V&D Den Haag Leyweg/E_TOT
8637;NL V&D Den Helder/E_TOT
8661;NL V&D Ede/E_TOT
8671;NL V&D Eindhoven/E_TOT
8686;NL V&D Emmen/E_TOT
8713;NL V&D Goes/E_TOT
8721;NL V&D Gorinchem/E_TOT
8749;NL V&D Haarlem Schalkwijk/E_TOT
8781;NL V&D Heerlen/E_TOT
8789;NL V&D Hengelo/E_TOT
8802;NL V&D Hilversum/E_TOT
8810;NL V&D Hoofddorp/E_TOT
8818;NL V&D Hoorn/E_TOT
8830;NL La Place A9 A'dam Zuid /E_TOT
8838;NL La Place Arena/E_TOT
8844;NL La Place Hazeldonk/E_TOT
8853;NL La Place Laakhaven /E_TOT
8857;NL La Place Laren /E_TOT
8916;NL V&D Meppel/E_TOT
8922;NL V&D Naaldwijk/E_TOT
8929;NL V&D Nijmegen/E_TOT
8936;NL V&D Oosterhout/E_TOT
8943;NL V&D Oss/E_TOT
8951;NL V&D Purmerend/E_TOT
8961;NL V&D Rijswijk/E_TOT
8967;NL V&D Roermond/E_TOT
8975;NL V&D Roosendaal/E_TOT
8996;NL V&D Rotterdam Zuidplein/E_TOT
9027;NL Grontmij Amersfoortï (Optimod datalogger) /E_TOT
9057;NL V&D Veenendaal/E_TOT
9065;NL V&D Weert/E_TOT
9073;NL V&D Zaandam/E_TOT
9081;NL V&D Zeist/E_TOT
9094;NL V&D Zoetermeer/E_TOT
9100;NL V&D Zwolle/E_TOT
9419;NL V&D Enschede/E_TOT
9420;NL V&D Leeuwarden/E_TOT
9425;NL V&D Amersfoort/E_TOT
9426;NL V&D Apeldoorn/E_TOT
9428;NL V&D Den Haag-C/E_TOT
9432;NL V&D Utrecht/E_TOT
9574;NL V&D Tilburg/E_TOT
9892;NL Grand Cafe Deventer/E_TOT
9897;NL Grand Cafe Hardenberg/E_TOT
9902;NL Grand cafe Houten/E_TOT
9917;NL La Place A15 Opheusden/E_TOT
9922;NL La Place A4 De Brug/E_TOT
9927;NL La Place A50 Apeldoorn/E_TOT
9933;NL La Place Alexandrium/E_TOT
9941;NL La Place Antwerpen/E_TOT
9946;NL La Place Apeldoorn/E_TOT
9964;NL La Place Enschede/E_TOT
9985;NL Grand Cafe AH Zoetermeer/E_TOT
9991;NL La Place Lelystad/E_TOT
9996;NL La Place Maastricht Entre Deux/E_TOT
10006;NL La Place Oosterhout/E_TOT
10021;NL La Place Piazza Eindhoven/E_TOT
10026;NL La Place Roermond/E_TOT
10034;NL 089 V&D Doetinchem/E_TOT
10039;NL 080 V&D Hellevoetsluis/E_TOT
10044;NL 054 V&D Venlo/E_TOT
10056;NL La Place Den Helder/E_TOT La Placeï
10285;NL La Place Heuvelgalerie/E_TOT
10705;NL La Place Utrecht/E_TOT La Placeï
10735;NL La Place Beverwijk/E_TOT La Place
10840;NL 447 La Place Dreefzicht/E_TOT
10938;NL Grontmij Arnhem/E_TOT
10942;NL Grontmij Waddinxveen/E_TOT
10944;NL Grontmij Houten/E_TOT
10948;NL Grontmij Drachten/E_TOT
10950;NL Grontmij Gorinchem/E_TOT
10952;NL Grontmij Eindhoven/E_TOT
10954;NL Grontmij Middelburg/E_TOT
10956;NL Grontmij Roermond/E_TOT
10958;NL Grontmij Zwolle/E_TOT
10971;NL Grontmij Assen/E_TOT
11121;NL V&D Leidschendam/E_TOT
11362;NL Nicoud Heerhugowaard/E_TOT
11448;NL Mulder Apeldoorn/E_TOT
11523;NL GSF College de Brink/E_TOT
11548;NL ARHC Gymzaal/E_TOT
11550;NL ARHC Jonkerweg/E_TOT
11553;NL ARHC Schuttersweg/E_TOT
11555;NL De Fontein/E_TOT
11557;NL Goois Lyceum/E_TOT
11821;NL Grontmij Roosendaal/E_TOT
12196;NL Vakcollege Amersfoort/E_TOT
12315;NL Auris College/E_TOT
12398;NL Grontmij de Bilt/E_TOT
12434;NL WiringherlantCollege Terpweg/E_TOT
12436;NL Linge College Tiel T2/E_TOT
12442;NL Wiringherlant College Ovingestraat/E_TOT
12461;NL Rijkswaterstaat Urecht/E_TOT Lift
12585;NL Centraal Museum Utrecht/E_TOT
12729;NL ROC Eindhoven/E_TOT
12757;NL ECL Haarlem/E_TOT
12765;NL Hartevelt/E_TOT
12821;NL Grontmij Haren Noord/E_TOT
12827;NL Grontmij Haren Zuid/E_TOT
12965;NL OptiVolt Theater Zuidplein/E_TOT
13135;NL Lauwers College/E_TOT
13215;NL Tweespan Lemmer/E_TOT
13253;NL Prof. W.J. Bladergroenschool/E_TOT
13289;NL Schoter College/E_TOT
13322;NL CBS Scharmhof/E_TOT
13522;NL CBS de Lichtbron/E_TOT
14113;NL Maharishi Basisschool De Fontein/E_TOT
14117;NL Montessorischool De Wildzang/E_TOT
14468;NL Stadshuis Leeuwarden/E_TOT
14616;NL Woonpartners/E_TOT
14846;NL Grontmij Lieren/E_TOT
15050;NL Grontmij Amersfoort/E_TOT
15056;NL Euro Mail BV/E_TOT
15070;NL Rabotheater 1e trafo/E_TOT
15072;NL Rabotheater 2e trafo/E_TOT
15085;NL Zorgcentrum Beatrix/E_TOT
15470;NL Mondriaan College KML/E_TOT
15474;NL Mondriaan College H11/E_TOT
15828;NL Basisschool Ummer Clumme/E_TOT
16087;NL Stadhuis Zutphen/E_TOT
16368;NL Grontmij Papendorp/E_TOT
16371;NL Grontmij Papendorp/E_TOT Gispen
16764;NL Gemeente Deventer/E_TOT
18252;NL BouwCenter Nelemans/E_TOT
18256;NL Villa Zebra/E_TOT
18325;NL Cibap Zwolle/E_TOT
18347;NL Nieuw Land Museum/E_TOT
18394;NL Rabobank Doetinchem/E_TOT
18582;NL Montessorischool De Poort/E_TOT
18597;NL 't Hooghe Landt, Trompetstraat/E_TOT
18599;NL 't Hooghe Landt, Parelhoenstraat/E_TOT
18626;NL GSF Gooise Praktijkschool/E_TOT
18639;NL Montessorischool Pallas Athene/E_TOT
18705;NL Zadkine Pal-55/E_TOT
19016;NL Omefa/E_TOT
19031;NL Humanitas Acropolis trafo 1/E_TOT
19055;NL Visser 't Hooft Lyceum/E_TOT
19199;NL Gemeente Leiden 1/E_TOT
19219;NL Wolfert Dalton/E_TOT
19533;NL Eurodeur/E_TOT
19759;NL Bekkershuis Schijndel 1/E_TOT
20013;NL Albeda Buys Ballotlaan 1/E_TOT
20182;NL DaVinci pri HKL 1/E_TOT
20208;NL DaVinci pri HKL 2/E_TOT
20845;NLAafjeRestaurantZuiderkroon1/E_TOT
21850;NL Humanitas Acropolis trafo 2/E_TOT
22169;NL Minkema College Woerden 1/E_TOT
22410;NL Stichting Coloriet 1/E_TOT
22955;NL van Wilsum, Laapersveld/E_TOT
23223;NL It Finster Annamaria van Schurmanschool/E_TOTï
23268;NL Revant 1/E_TOT
23303;NL Parnassia Bavo Groep, Carnissesingel/E_TOT
23304;NL Parnassia Bavo Groep, P.J. Bliekstraat/E_TOT
23313;NL Stadskantoor Leeuwarden/E_TOT
23375;NL Stadskantoor Breda/E_TOT
23466;NL Hotel The Grand/E_TOT
23822;NL Aafje Endeldijk/E_TOT
23852;NL Star-MDC/E_TOT
23853;NL Stadsschouwburg Utrecht/E_TOT
23854;NL Pameijer/E_TOT
23855;NL Stadstheater Zoetermeer/E_TOT
23933;NL Port of Rotterdam/E_TOT
23973;NL Albeda School Haastrechtstraat /E_TOT
24071;NL CVO Rotterdam/E_TOT
24076;NL Laurens Wonen - Delfshaven/E_TOT
24095;NL Laurens Wonen - Aesopus/E_TOT
24111;NL Laurens Wonen - De Oudelandse Hof/E_TOT
24116;NL Humanitas Acropolis/E_TOT
24118;NL Humanitas Hannie Dekhuijzen/E_TOT
24121;NL Nimeto Utrecht/E_TOT
24361;NL Albeda College - Prins Alexanderlaan/E_TOT
24365;NL Paard van Troje/E_TOT Stedin
